year,rank,country,happiness,GDP,social_support,healthy,freedom,generosity,corruption,rank,happiness,GDP,social_support2019,healthy,freedom2019,generosity,corruption,rank2020,happiness,GDP,social_support,healthy,freedom,generosity,corruption,dystopia2020,rank2021,happiness,GDP,social_support,healthy,freedom,generosity,corruption,dystopia2021,rank2022,happiness,GDP,social_support,healthy,freedom,generosity,corruption,dystopia2022
2018,1.0,Finland,7.632,1.305,1.592,0.874,0.681,0.202,0.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2.0,Norway,7.594,1.456,1.582,0.861,0.686,0.286,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3.0,Denmark,7.555,1.351,1.59,0.868,0.683,0.284,0.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,4.0,Iceland,7.495,1.343,1.644,0.914,0.677,0.353,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,5.0,Switzerland,7.487,1.42,1.549,0.927,0.66,0.256,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,6.0,Netherlands,7.441,1.361,1.488,0.878,0.638,0.333,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,7.0,Canada,7.328,1.33,1.532,0.896,0.653,0.321,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,8.0,New Zealand,7.324,1.268,1.601,0.876,0.669,0.365,0.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9.0,Sweden,7.314,1.355,1.501,0.913,0.659,0.285,0.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,10.0,Australia,7.272,1.34,1.573,0.91,0.647,0.361,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,11.0,United Kingdom,7.19,1.244,1.433,0.888,0.464,0.262,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,12.0,Austria,7.139,1.341,1.504,0.891,0.617,0.242,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,13.0,Costa Rica,7.072,1.01,1.459,0.817,0.632,0.143,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,14.0,Ireland,6.977,1.448,1.583,0.876,0.614,0.307,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,15.0,Germany,6.965,1.34,1.474,0.861,0.586,0.273,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,16.0,Belgium,6.927,1.324,1.483,0.894,0.583,0.188,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,17.0,Luxembourg,6.91,1.576,1.52,0.896,0.632,0.196,0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,18.0,United States,6.886,1.398,1.471,0.819,0.547,0.291,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,19.0,Israel,6.814,1.301,1.559,0.883,0.533,0.354,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,20.0,United Arab Emirates,6.774,2.096,0.776,0.67,0.284,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,21.0,Czech Republic,6.711,1.233,1.489,0.854,0.543,0.064,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,22.0,Malta,6.627,1.27,1.525,0.884,0.645,0.376,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,23.0,France,6.489,1.293,1.466,0.908,0.52,0.098,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,24.0,Mexico,6.488,1.038,1.252,0.761,0.479,0.069,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,25.0,Chile,6.476,1.131,1.331,0.808,0.431,0.197,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,26.0,Taiwan,6.441,1.365,1.436,0.857,0.418,0.151,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,27.0,Panama,6.43,1.112,1.438,0.759,0.597,0.125,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,28.0,Brazil,6.419,0.986,1.474,0.675,0.493,0.11,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,29.0,Argentina,6.388,1.073,1.468,0.744,0.57,0.062,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,30.0,Guatemala,6.382,0.781,1.268,0.608,0.604,0.179,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,31.0,Uruguay,6.379,1.093,1.459,0.771,0.625,0.13,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,32.0,Qatar,6.374,1.649,1.303,0.748,0.654,0.256,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,33.0,Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.098,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,34.0,Singapore,6.343,1.529,1.451,1.008,0.631,0.261,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,35.0,Malaysia,6.322,1.161,1.258,0.669,0.356,0.311,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,36.0,Spain,6.31,1.251,1.538,0.965,0.449,0.142,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,37.0,Colombia,6.26,0.96,1.439,0.635,0.531,0.099,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,38.0,Trinidad & Tobago,6.192,1.223,1.492,0.564,0.575,0.171,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,39.0,Slovakia,6.173,1.21,1.537,0.776,0.354,0.118,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,40.0,El Salvador,6.167,0.806,1.231,0.639,0.461,0.065,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,41.0,Nicaragua,6.141,0.668,1.319,0.7,0.527,0.208,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,42.0,Poland,6.123,1.176,1.448,0.781,0.546,0.108,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,43.0,Bahrain,6.105,1.338,1.366,0.698,0.594,0.243,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,44.0,Uzbekistan,6.096,0.719,1.584,0.605,0.724,0.328,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,45.0,Kuwait,6.083,1.474,1.301,0.675,0.554,0.167,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,46.0,Thailand,6.072,1.016,1.417,0.707,0.637,0.364,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,47.0,Italy,6.0,1.264,1.501,0.946,0.281,0.137,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,48.0,Ecuador,5.973,0.889,1.33,0.736,0.556,0.114,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,49.0,Belize,5.956,0.807,1.101,0.474,0.593,0.183,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,50.0,Lithuania,5.952,1.197,1.527,0.716,0.35,0.026,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,51.0,Slovenia,5.948,1.219,1.506,0.856,0.633,0.16,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,52.0,Romania,5.945,1.116,1.219,0.726,0.528,0.088,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,53.0,Latvia,5.933,1.148,1.454,0.671,0.363,0.092,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,54.0,Japan,5.915,1.294,1.462,0.988,0.553,0.079,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,55.0,Mauritius,5.891,1.09,1.387,0.684,0.584,0.245,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,56.0,Jamaica,5.89,0.819,1.493,0.693,0.575,0.096,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,57.0,South Korea,5.875,1.266,1.204,0.955,0.244,0.175,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,58.0,Northern Cyprus,5.835,1.229,1.211,0.909,0.495,0.179,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,59.0,Russia,5.81,1.151,1.479,0.599,0.399,0.065,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,60.0,Kazakhstan,5.79,1.143,1.516,0.631,0.454,0.148,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,61.0,Cyprus,5.762,1.229,1.191,0.909,0.423,0.202,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,62.0,Bolivia,5.752,0.751,1.223,0.508,0.606,0.141,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,63.0,Estonia,5.739,1.2,1.532,0.737,0.553,0.086,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,64.0,Paraguay,5.681,0.835,1.522,0.615,0.541,0.162,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,65.0,Peru,5.663,0.934,1.249,0.674,0.53,0.092,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,66.0,Kosovo,5.662,0.855,1.23,0.578,0.448,0.274,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,67.0,Moldova,5.64,0.657,1.301,0.62,0.232,0.171,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,68.0,Turkmenistan,5.636,1.016,1.533,0.517,0.417,0.199,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,69.0,Hungary,5.62,1.171,1.401,0.732,0.259,0.061,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,70.0,Libya,5.566,0.985,1.35,0.553,0.496,0.116,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,71.0,Philippines,5.524,0.775,1.312,0.513,0.643,0.12,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,72.0,Honduras,5.504,0.62,1.205,0.622,0.459,0.197,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,73.0,Belarus,5.483,1.039,1.498,0.7,0.307,0.101,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,74.0,Turkey,5.483,1.148,1.38,0.686,0.324,0.106,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,75.0,Pakistan,5.472,0.652,0.81,0.424,0.334,0.216,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,76.0,Hong Kong,5.43,1.405,1.29,1.03,0.524,0.246,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,77.0,Portugal,5.41,1.188,1.429,0.884,0.562,0.055,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,78.0,Serbia,5.398,0.975,1.369,0.685,0.288,0.134,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,79.0,Greece,5.358,1.154,1.202,0.879,0.131,0.0,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,80.0,Lebanon,5.358,0.965,1.179,0.785,0.503,0.214,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,81.0,Montenegro,5.347,1.017,1.279,0.729,0.259,0.111,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,82.0,Croatia,5.321,1.115,1.161,0.737,0.38,0.12,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,83.0,Dominican Republic,5.302,0.982,1.441,0.614,0.578,0.12,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,84.0,Algeria,5.295,0.979,1.154,0.687,0.077,0.055,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,85.0,Morocco,5.254,0.779,0.797,0.669,0.46,0.026,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,86.0,China,5.246,0.989,1.142,0.799,0.597,0.029,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,87.0,Azerbaijan,5.201,1.024,1.161,0.603,0.43,0.031,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,88.0,Tajikistan,5.199,0.474,1.166,0.598,0.292,0.187,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,89.0,Macedonia,5.185,0.959,1.239,0.691,0.394,0.173,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,90.0,Jordan,5.161,0.822,1.265,0.645,0.468,0.13,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,91.0,Nigeria,5.155,0.689,1.172,0.048,0.462,0.201,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,92.0,Kyrgyzstan,5.131,0.53,1.416,0.594,0.54,0.281,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,93.0,Bosnia and Herzegovina,5.129,0.915,1.078,0.758,0.28,0.216,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,94.0,Mongolia,5.125,0.914,1.517,0.575,0.395,0.253,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,95.0,Vietnam,5.103,0.715,1.365,0.702,0.618,0.177,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,96.0,Indonesia,5.093,0.899,1.215,0.522,0.538,0.484,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,97.0,Bhutan,5.082,0.796,1.335,0.527,0.541,0.364,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,98.0,Somalia,4.982,0.0,0.712,0.115,0.674,0.238,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,99.0,Cameroon,4.975,0.535,0.891,0.182,0.454,0.183,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,100.0,Bulgaria,4.933,1.054,1.515,0.712,0.359,0.064,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,101.0,Nepal,4.88,0.425,1.228,0.539,0.526,0.302,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,102.0,Venezuela,4.806,0.996,1.469,0.657,0.133,0.056,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,103.0,Gabon,4.758,1.036,1.164,0.404,0.356,0.032,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,104.0,Palestinian Territories,4.743,0.642,1.217,0.602,0.266,0.086,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,105.0,South Africa,4.724,0.94,1.41,0.33,0.516,0.103,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,106.0,Iran,4.707,1.059,0.771,0.691,0.459,0.282,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,107.0,Ivory Coast,4.671,0.541,0.872,0.08,0.467,0.146,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,108.0,Ghana,4.657,0.592,0.896,0.337,0.499,0.212,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,109.0,Senegal,4.631,0.429,1.117,0.433,0.406,0.138,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,110.0,Laos,4.623,0.72,1.034,0.441,0.626,0.23,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,111.0,Tunisia,4.592,0.9,0.906,0.69,0.271,0.04,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,112.0,Albania,4.586,0.916,0.817,0.79,0.419,0.149,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,113.0,Sierra Leone,4.571,0.256,0.813,0.0,0.355,0.238,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,114.0,Congo (Brazzaville),4.559,0.682,0.811,0.343,0.514,0.091,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,115.0,Bangladesh,4.5,0.532,0.85,0.579,0.58,0.153,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,116.0,Sri Lanka,4.471,0.918,1.314,0.672,0.585,0.307,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,117.0,Iraq,4.456,1.01,0.971,0.536,0.304,0.148,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,118.0,Mali,4.447,0.37,1.233,0.152,0.367,0.139,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,119.0,Namibia,4.441,0.874,1.281,0.365,0.519,0.051,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,120.0,Cambodia,4.433,0.549,1.088,0.457,0.696,0.256,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,121.0,Burkina Faso,4.424,0.314,1.097,0.254,0.312,0.175,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,122.0,Egypt,4.419,0.885,1.025,0.553,0.312,0.092,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,123.0,Mozambique,4.417,0.198,0.902,0.173,0.531,0.206,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,124.0,Kenya,4.41,0.493,1.048,0.454,0.504,0.352,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,125.0,Zambia,4.377,0.562,1.047,0.295,0.503,0.221,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,126.0,Mauritania,4.356,0.557,1.245,0.292,0.129,0.134,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,127.0,Ethiopia,4.35,0.308,0.95,0.391,0.452,0.22,0.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,128.0,Georgia,4.34,0.853,0.592,0.643,0.375,0.038,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,129.0,Armenia,4.321,0.816,0.99,0.666,0.26,0.077,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,130.0,Myanmar,4.308,0.682,1.174,0.429,0.58,0.598,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,131.0,Chad,4.301,0.358,0.907,0.053,0.189,0.181,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,132.0,Congo (Kinshasa),4.245,0.069,1.136,0.204,0.312,0.197,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,133.0,India,4.19,0.721,0.747,0.485,0.539,0.172,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,134.0,Niger,4.166,0.131,0.867,0.221,0.39,0.175,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,135.0,Uganda,4.161,0.322,1.09,0.237,0.45,0.259,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,136.0,Benin,4.141,0.378,0.372,0.24,0.44,0.163,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,137.0,Sudan,4.139,0.605,1.24,0.312,0.016,0.134,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,138.0,Ukraine,4.103,0.793,1.413,0.609,0.163,0.187,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,139.0,Togo,3.999,0.259,0.474,0.253,0.434,0.158,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,140.0,Guinea,3.964,0.344,0.792,0.211,0.394,0.185,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,141.0,Lesotho,3.808,0.472,1.215,0.079,0.423,0.116,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,142.0,Angola,3.795,0.73,1.125,0.269,0.0,0.079,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,143.0,Madagascar,3.774,0.262,0.908,0.402,0.221,0.155,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,144.0,Zimbabwe,3.692,0.357,1.094,0.248,0.406,0.132,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,145.0,Afghanistan,3.632,0.332,0.537,0.255,0.085,0.191,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,146.0,Botswana,3.59,1.017,1.174,0.417,0.557,0.042,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,147.0,Malawi,3.587,0.186,0.541,0.306,0.531,0.21,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,148.0,Haiti,3.582,0.315,0.714,0.289,0.025,0.392,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,149.0,Liberia,3.495,0.076,0.858,0.267,0.419,0.206,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,150.0,Syria,3.462,0.689,0.382,0.539,0.088,0.376,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,151.0,Rwanda,3.408,0.332,0.896,0.4,0.636,0.2,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,152.0,Yemen,3.355,0.442,1.073,0.343,0.244,0.083,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,153.0,Tanzania,3.303,0.455,0.991,0.381,0.481,0.27,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,154.0,South Sudan,3.254,0.337,0.608,0.177,0.112,0.224,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,155.0,Central African Republic,3.083,0.024,0.0,0.01,0.305,0.218,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,156.0,Burundi,2.905,0.091,0.627,0.145,0.065,0.149,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Finland,,,,,,,,1.0,7.769,1.34,1.587,0.986,0.596,0.153,0.393,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Denmark,,,,,,,,2.0,7.6,1.383,1.573,0.996,0.592,0.252,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Norway,,,,,,,,3.0,7.554,1.488,1.582,1.028,0.603,0.271,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Iceland,,,,,,,,4.0,7.494,1.38,1.624,1.026,0.591,0.354,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Netherlands,,,,,,,,5.0,7.488,1.396,1.522,0.999,0.557,0.322,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Switzerland,,,,,,,,6.0,7.48,1.452,1.526,1.052,0.572,0.263,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Sweden,,,,,,,,7.0,7.343,1.387,1.487,1.009,0.574,0.267,0.373,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,New Zealand,,,,,,,,8.0,7.307,1.303,1.557,1.026,0.585,0.33,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Canada,,,,,,,,9.0,7.278,1.365,1.505,1.039,0.584,0.285,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Austria,,,,,,,,10.0,7.246,1.376,1.475,1.016,0.532,0.244,0.226,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Australia,,,,,,,,11.0,7.228,1.372,1.548,1.036,0.557,0.332,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Costa Rica,,,,,,,,12.0,7.167,1.034,1.441,0.963,0.558,0.144,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,
