year,rank,country,happiness,gdp,social_support,healthy,freedom,generosity,corruption,dystopia
2018,1,Finland,7.632,1.305,1.592,0.874,0.681,0.202,0.393,2.585
2018,2,Norway,7.594,1.456,1.582,0.861,0.686,0.286,0.34,2.383000000000001
2018,3,Denmark,7.555,1.351,1.59,0.868,0.683,0.284,0.408,2.3709999999999996
2018,4,Iceland,7.495,1.343,1.644,0.914,0.677,0.353,0.138,2.426
2018,5,Switzerland,7.487,1.42,1.549,0.927,0.66,0.256,0.357,2.3179999999999996
2018,6,Netherlands,7.441,1.361,1.488,0.878,0.638,0.333,0.295,2.4479999999999995
2018,7,Canada,7.328,1.33,1.532,0.896,0.653,0.321,0.291,2.3050000000000006
2018,8,New Zealand,7.324,1.268,1.601,0.876,0.669,0.365,0.389,2.1559999999999997
2018,9,Sweden,7.314,1.355,1.501,0.913,0.659,0.285,0.383,2.218
2018,10,Australia,7.272,1.34,1.573,0.91,0.647,0.361,0.302,2.1390000000000002
2018,11,United Kingdom,7.19,1.244,1.433,0.888,0.464,0.262,0.082,2.817
2018,12,Austria,7.139,1.341,1.504,0.891,0.617,0.242,0.224,2.3200000000000003
2018,13,Costa Rica,7.072,1.01,1.459,0.817,0.632,0.143,0.101,2.9099999999999993
2018,14,Ireland,6.977,1.448,1.583,0.876,0.614,0.307,0.306,1.843
2018,15,Germany,6.965,1.34,1.474,0.861,0.586,0.273,0.28,2.151
2018,16,Belgium,6.927,1.324,1.483,0.894,0.583,0.188,0.24,2.214999999999999
2018,17,Luxembourg,6.91,1.576,1.52,0.896,0.632,0.196,0.321,1.769000000000001
2018,18,United States,6.886,1.398,1.471,0.819,0.547,0.291,0.133,2.2270000000000003
2018,19,Israel,6.814,1.301,1.559,0.883,0.533,0.354,0.272,1.912
2018,21,Czech Republic,6.711,1.233,1.489,0.854,0.543,0.064,0.034,2.4939999999999998
2018,22,Malta,6.627,1.27,1.525,0.884,0.645,0.376,0.142,1.7849999999999993
2018,23,France,6.489,1.293,1.466,0.908,0.52,0.098,0.176,2.0280000000000005
2018,24,Mexico,6.488,1.038,1.252,0.761,0.479,0.069,0.095,2.794
2018,25,Chile,6.476,1.131,1.331,0.808,0.431,0.197,0.061,2.5170000000000003
2018,26,Taiwan,6.441,1.365,1.436,0.857,0.418,0.151,0.078,2.1359999999999992
2018,27,Panama,6.43,1.112,1.438,0.759,0.597,0.125,0.063,2.3360000000000003
2018,28,Brazil,6.419,0.986,1.474,0.675,0.493,0.11,0.088,2.593
2018,29,Argentina,6.388,1.073,1.468,0.744,0.57,0.062,0.054,2.4170000000000003
2018,30,Guatemala,6.382,0.781,1.268,0.608,0.604,0.179,0.071,2.8709999999999996
2018,31,Uruguay,6.379,1.093,1.459,0.771,0.625,0.13,0.155,2.145999999999999
2018,32,Qatar,6.374,1.649,1.303,0.748,0.654,0.256,0.171,1.592999999999999
2018,33,Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.098,0.127,2.2940000000000005
2018,34,Singapore,6.343,1.529,1.451,1.008,0.631,0.261,0.457,1.0060000000000002
2018,35,Malaysia,6.322,1.161,1.258,0.669,0.356,0.311,0.059,2.508
2018,36,Spain,6.31,1.251,1.538,0.965,0.449,0.142,0.074,1.891
2018,37,Colombia,6.26,0.96,1.439,0.635,0.531,0.099,0.039,2.5569999999999995
2018,38,Trinidad & Tobago,6.192,1.223,1.492,0.564,0.575,0.171,0.019,2.1479999999999997
2018,39,Slovakia,6.173,1.21,1.537,0.776,0.354,0.118,0.014,2.1640000000000006
2018,40,El Salvador,6.167,0.806,1.231,0.639,0.461,0.065,0.082,2.883
2018,41,Nicaragua,6.141,0.668,1.319,0.7,0.527,0.208,0.128,2.5909999999999993
2018,42,Poland,6.123,1.176,1.448,0.781,0.546,0.108,0.064,2.000000000000001
2018,43,Bahrain,6.105,1.338,1.366,0.698,0.594,0.243,0.123,1.7430000000000003
2018,44,Uzbekistan,6.096,0.719,1.584,0.605,0.724,0.328,0.259,1.8770000000000007
2018,45,Kuwait,6.083,1.474,1.301,0.675,0.554,0.167,0.106,1.806
2018,46,Thailand,6.072,1.016,1.417,0.707,0.637,0.364,0.029,1.9020000000000001
2018,47,Italy,6.0,1.264,1.501,0.946,0.281,0.137,0.028,1.8430000000000009
2018,48,Ecuador,5.973,0.889,1.33,0.736,0.556,0.114,0.12,2.2279999999999998
2018,49,Belize,5.956,0.807,1.101,0.474,0.593,0.183,0.089,2.709000000000001
2018,50,Lithuania,5.952,1.197,1.527,0.716,0.35,0.026,0.006,2.13
2018,51,Slovenia,5.948,1.219,1.506,0.856,0.633,0.16,0.051,1.5229999999999997
2018,52,Romania,5.945,1.116,1.219,0.726,0.528,0.088,0.001,2.2670000000000003
2018,53,Latvia,5.933,1.148,1.454,0.671,0.363,0.092,0.066,2.1390000000000002
2018,54,Japan,5.915,1.294,1.462,0.988,0.553,0.079,0.15,1.3889999999999993
2018,55,Mauritius,5.891,1.09,1.387,0.684,0.584,0.245,0.05,1.850999999999999
2018,56,Jamaica,5.89,0.819,1.493,0.693,0.575,0.096,0.031,2.1829999999999994
2018,57,South Korea,5.875,1.266,1.204,0.955,0.244,0.175,0.051,1.9800000000000004
2018,58,Northern Cyprus,5.835,1.229,1.211,0.909,0.495,0.179,0.154,1.6579999999999995
2018,59,Russia,5.81,1.151,1.479,0.599,0.399,0.065,0.025,2.0919999999999996
2018,60,Kazakhstan,5.79,1.143,1.516,0.631,0.454,0.148,0.121,1.7770000000000001
2018,61,Cyprus,5.762,1.229,1.191,0.909,0.423,0.202,0.035,1.7729999999999997
2018,62,Bolivia,5.752,0.751,1.223,0.508,0.606,0.141,0.054,2.469
2018,63,Estonia,5.739,1.2,1.532,0.737,0.553,0.086,0.174,1.456999999999999
2018,64,Paraguay,5.681,0.835,1.522,0.615,0.541,0.162,0.074,1.932
2018,65,Peru,5.663,0.934,1.249,0.674,0.53,0.092,0.034,2.15
2018,66,Kosovo,5.662,0.855,1.23,0.578,0.448,0.274,0.023,2.254
2018,67,Moldova,5.64,0.657,1.301,0.62,0.232,0.171,0.0,2.659
2018,68,Turkmenistan,5.636,1.016,1.533,0.517,0.417,0.199,0.037,1.9170000000000007
2018,69,Hungary,5.62,1.171,1.401,0.732,0.259,0.061,0.022,1.9740000000000002
2018,70,Libya,5.566,0.985,1.35,0.553,0.496,0.116,0.148,1.9179999999999997
2018,71,Philippines,5.524,0.775,1.312,0.513,0.643,0.12,0.105,2.0559999999999996
2018,72,Honduras,5.504,0.62,1.205,0.622,0.459,0.197,0.074,2.3269999999999995
2018,73,Belarus,5.483,1.039,1.498,0.7,0.307,0.101,0.154,1.6839999999999997
2018,74,Turkey,5.483,1.148,1.38,0.686,0.324,0.106,0.109,1.7300000000000004
2018,75,Pakistan,5.472,0.652,0.81,0.424,0.334,0.216,0.113,2.923
2018,76,Hong Kong,5.43,1.405,1.29,1.03,0.524,0.246,0.291,0.6439999999999984
2018,77,Portugal,5.41,1.188,1.429,0.884,0.562,0.055,0.017,1.2750000000000004
2018,78,Serbia,5.398,0.975,1.369,0.685,0.288,0.134,0.043,1.904
2018,79,Greece,5.358,1.154,1.202,0.879,0.131,0.0,0.044,1.948
2018,80,Lebanon,5.358,0.965,1.179,0.785,0.503,0.214,0.136,1.5759999999999992
2018,81,Montenegro,5.347,1.017,1.279,0.729,0.259,0.111,0.081,1.8710000000000004
2018,82,Croatia,5.321,1.115,1.161,0.737,0.38,0.12,0.039,1.7689999999999997
2018,83,Dominican Republic,5.302,0.982,1.441,0.614,0.578,0.12,0.106,1.4609999999999999
2018,84,Algeria,5.295,0.979,1.154,0.687,0.077,0.055,0.135,2.2079999999999993
2018,85,Morocco,5.254,0.779,0.797,0.669,0.46,0.026,0.074,2.449
2018,86,China,5.246,0.989,1.142,0.799,0.597,0.029,0.103,1.5870000000000006
2018,87,Azerbaijan,5.201,1.024,1.161,0.603,0.43,0.031,0.176,1.775999999999999
2018,88,Tajikistan,5.199,0.474,1.166,0.598,0.292,0.187,0.034,2.4480000000000004
2018,89,Macedonia,5.185,0.959,1.239,0.691,0.394,0.173,0.052,1.6769999999999996
2018,90,Jordan,5.161,0.822,1.265,0.645,0.468,0.13,0.134,1.697
2018,91,Nigeria,5.155,0.689,1.172,0.048,0.462,0.201,0.032,2.551
2018,92,Kyrgyzstan,5.131,0.53,1.416,0.594,0.54,0.281,0.035,1.7349999999999999
2018,93,Bosnia and Herzegovina,5.129,0.915,1.078,0.758,0.28,0.216,0.0,1.8819999999999988
2018,94,Mongolia,5.125,0.914,1.517,0.575,0.395,0.253,0.032,1.4389999999999996
2018,95,Vietnam,5.103,0.715,1.365,0.702,0.618,0.177,0.079,1.4469999999999996
2018,96,Indonesia,5.093,0.899,1.215,0.522,0.538,0.484,0.018,1.4169999999999998
2018,97,Bhutan,5.082,0.796,1.335,0.527,0.541,0.364,0.171,1.3479999999999999
2018,98,Somalia,4.982,0.0,0.712,0.115,0.674,0.238,0.282,2.9610000000000003
2018,99,Cameroon,4.975,0.535,0.891,0.182,0.454,0.183,0.043,2.6869999999999994
2018,100,Bulgaria,4.933,1.054,1.515,0.712,0.359,0.064,0.009,1.2200000000000002
2018,101,Nepal,4.88,0.425,1.228,0.539,0.526,0.302,0.078,1.782
2018,102,Venezuela,4.806,0.996,1.469,0.657,0.133,0.056,0.052,1.443
2018,103,Gabon,4.758,1.036,1.164,0.404,0.356,0.032,0.052,1.714
2018,104,Palestinian Territories,4.743,0.642,1.217,0.602,0.266,0.086,0.076,1.8540000000000005
2018,105,South Africa,4.724,0.94,1.41,0.33,0.516,0.103,0.056,1.3690000000000002
2018,106,Iran,4.707,1.059,0.771,0.691,0.459,0.282,0.129,1.3159999999999998
2018,107,Ivory Coast,4.671,0.541,0.872,0.08,0.467,0.146,0.103,2.4619999999999997
2018,108,Ghana,4.657,0.592,0.896,0.337,0.499,0.212,0.029,2.092
2018,109,Senegal,4.631,0.429,1.117,0.433,0.406,0.138,0.082,2.0260000000000002
2018,110,Laos,4.623,0.72,1.034,0.441,0.626,0.23,0.174,1.3980000000000006
2018,111,Tunisia,4.592,0.9,0.906,0.69,0.271,0.04,0.063,1.7219999999999995
2018,112,Albania,4.586,0.916,0.817,0.79,0.419,0.149,0.032,1.463
2018,113,Sierra Leone,4.571,0.256,0.813,0.0,0.355,0.238,0.053,2.856
2018,114,Congo (Brazzaville),4.559,0.682,0.811,0.343,0.514,0.091,0.077,2.041
2018,115,Bangladesh,4.5,0.532,0.85,0.579,0.58,0.153,0.144,1.662
2018,116,Sri Lanka,4.471,0.918,1.314,0.672,0.585,0.307,0.05,0.625
2018,117,Iraq,4.456,1.01,0.971,0.536,0.304,0.148,0.095,1.3920000000000003
2018,118,Mali,4.447,0.37,1.233,0.152,0.367,0.139,0.056,2.13
2018,119,Namibia,4.441,0.874,1.281,0.365,0.519,0.051,0.064,1.287
2018,120,Cambodia,4.433,0.549,1.088,0.457,0.696,0.256,0.065,1.3219999999999996
2018,121,Burkina Faso,4.424,0.314,1.097,0.254,0.312,0.175,0.128,2.144
2018,122,Egypt,4.419,0.885,1.025,0.553,0.312,0.092,0.107,1.4449999999999994
2018,123,Mozambique,4.417,0.198,0.902,0.173,0.531,0.206,0.158,2.2489999999999997
2018,124,Kenya,4.41,0.493,1.048,0.454,0.504,0.352,0.055,1.5040000000000004
2018,125,Zambia,4.377,0.562,1.047,0.295,0.503,0.221,0.082,1.6669999999999998
2018,126,Mauritania,4.356,0.557,1.245,0.292,0.129,0.134,0.093,1.9060000000000001
2018,127,Ethiopia,4.35,0.308,0.95,0.391,0.452,0.22,0.146,1.8829999999999996
2018,128,Georgia,4.34,0.853,0.592,0.643,0.375,0.038,0.215,1.624
2018,129,Armenia,4.321,0.816,0.99,0.666,0.26,0.077,0.028,1.4839999999999995
2018,130,Myanmar,4.308,0.682,1.174,0.429,0.58,0.598,0.178,0.6670000000000003
2018,131,Chad,4.301,0.358,0.907,0.053,0.189,0.181,0.06,2.553
2018,132,Congo (Kinshasa),4.245,0.069,1.136,0.204,0.312,0.197,0.052,2.2750000000000004
2018,133,India,4.19,0.721,0.747,0.485,0.539,0.172,0.093,1.4330000000000003
2018,134,Niger,4.166,0.131,0.867,0.221,0.39,0.175,0.099,2.2830000000000004
2018,135,Uganda,4.161,0.322,1.09,0.237,0.45,0.259,0.061,1.7419999999999995
2018,136,Benin,4.141,0.378,0.372,0.24,0.44,0.163,0.067,2.481
2018,137,Sudan,4.139,0.605,1.24,0.312,0.016,0.134,0.082,1.7500000000000004
2018,138,Ukraine,4.103,0.793,1.413,0.609,0.163,0.187,0.011,0.927
2018,139,Togo,3.999,0.259,0.474,0.253,0.434,0.158,0.101,2.3200000000000003
2018,140,Guinea,3.964,0.344,0.792,0.211,0.394,0.185,0.094,1.944
2018,141,Lesotho,3.808,0.472,1.215,0.079,0.423,0.116,0.112,1.3909999999999996
2018,142,Angola,3.795,0.73,1.125,0.269,0.0,0.079,0.061,1.5309999999999997
2018,143,Madagascar,3.774,0.262,0.908,0.402,0.221,0.155,0.049,1.777
2018,144,Zimbabwe,3.692,0.357,1.094,0.248,0.406,0.132,0.099,1.3559999999999999
2018,145,Afghanistan,3.632,0.332,0.537,0.255,0.085,0.191,0.036,2.1959999999999997
2018,146,Botswana,3.59,1.017,1.174,0.417,0.557,0.042,0.092,0.29100000000000037
2018,147,Malawi,3.587,0.186,0.541,0.306,0.531,0.21,0.08,1.733
2018,148,Haiti,3.582,0.315,0.714,0.289,0.025,0.392,0.104,1.7429999999999999
2018,149,Liberia,3.495,0.076,0.858,0.267,0.419,0.206,0.03,1.639
2018,150,Syria,3.462,0.689,0.382,0.539,0.088,0.376,0.144,1.2440000000000002
2018,151,Rwanda,3.408,0.332,0.896,0.4,0.636,0.2,0.444,0.49999999999999956
2018,152,Yemen,3.355,0.442,1.073,0.343,0.244,0.083,0.064,1.1059999999999999
2018,153,Tanzania,3.303,0.455,0.991,0.381,0.481,0.27,0.097,0.6280000000000001
2018,154,South Sudan,3.254,0.337,0.608,0.177,0.112,0.224,0.106,1.6899999999999997
2018,155,Central African Republic,3.083,0.024,0.0,0.01,0.305,0.218,0.038,2.4880000000000004
2018,156,Burundi,2.905,0.091,0.627,0.145,0.065,0.149,0.076,1.7519999999999998
2019,1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2.7140000000000004
2019,2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2.394
2019,3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,2.2409999999999997
2019,4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2.400999999999999
2019,5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,2.394
2019,6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,2.272000000000001
2019,7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,2.2459999999999996
2019,8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,2.1260000000000003
2019,9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,2.192
2019,10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2.3770000000000007
2019,11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,2.093
2019,12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,2.9339999999999993
2019,13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,2.665
2019,14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,1.9540000000000006
2019,15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,2.1110000000000007
2019,16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,1.846
2019,17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,2.1500000000000004
2019,18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,2.234
2019,19,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,2.266
2019,20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,2.6370000000000005
2019,21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,2.1450000000000005
2019,22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,1.8170000000000002
2019,23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,2.7610000000000006
2019,24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,2.021
2019,25,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097,2.0439999999999987
2019,26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,2.396000000000001
2019,27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,2.833
2019,28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,2.1690000000000005
2019,29,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,1.564
2019,30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,1.9280000000000008
2019,31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,2.140999999999999
2019,32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,2.4799999999999995
2019,33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,2.013
2019,34,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,0.8059999999999992
2019,35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,2.831
2019,36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,1.9829999999999997
2019,37,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,1.6969999999999992
2019,38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,2.098
2019,39,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016,2.0810000000000004
2019,40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,2.0040000000000004
2019,41,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,1.9509999999999996
2019,42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,2.202
2019,43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,2.2860000000000005
2019,44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,1.6190000000000007
2019,45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,2.489
2019,46,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006,2.471
2019,47,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,2.0940000000000003
2019,48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,2.3009999999999997
2019,49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,1.8810000000000002
2019,50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,2.2249999999999996
2019,51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,1.661999999999999
2019,52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,1.777000000000001
2019,53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,2.0729999999999995
2019,54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,1.9489999999999998
2019,55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,1.495
2019,56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,2.1249999999999996
2019,57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,1.795
2019,58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,1.3980000000000006
2019,59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,2.3230000000000004
2019,60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,1.7469999999999999
2019,61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,2.376
2019,62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,2.0190000000000006
2019,63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,1.8579999999999997
2019,64,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162,1.391000000000001
2019,65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,2.0439999999999996
2019,66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,1.4619999999999989
2019,67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,2.923999999999999
2019,68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,1.8399999999999999
2019,69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,2.0919999999999996
2019,70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,1.9039999999999995
2019,71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0,2.351
2019,72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,1.8040000000000003
2019,73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,1.8209999999999997
2019,74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,2.394999999999999
2019,75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,1.6600000000000006
2019,76,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287,0.6079999999999997
2019,77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,1.5190000000000001
2019,78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,1.9030000000000005
2019,79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,1.6380000000000003
2019,80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,1.327
2019,81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,1.5310000000000006
2019,82,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034,1.85
2019,83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,1.5490000000000004
2019,84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,1.5950000000000002
2019,85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,2.5309999999999997
2019,86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,1.7180000000000004
2019,87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,1.334
2019,88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,1.9910000000000005
2019,89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,2.3129999999999997
2019,90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,1.681
2019,91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,1.762
2019,92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,1.3809999999999998
2019,93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,1.4650000000000003
2019,94,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,1.4739999999999998
2019,95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,1.35
2019,96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,2.6489999999999996
2019,97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,1.1950000000000003
2019,98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,2.365
2019,99,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,2.7390000000000003
2019,100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,1.751
2019,101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,1.4059999999999997
2019,102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,3.05
2019,103,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093,2.2620000000000005
2019,104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,1.5950000000000002
2019,105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,1.4739999999999998
2019,106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,1.3680000000000008
2019,107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,1.4620000000000002
2019,108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,1.2499999999999996
2019,109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,1.464
2019,110,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066,1.7259999999999995
2019,111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,2.0090000000000003
